resource_id,resource_name,service,resource_type,region,team,environment,cpu_avg_7d,memory_avg_7d,daily_cost_usd,monthly_cost_usd,days_running,last_accessed,status,tags
i-09963334018,platform-dev-ec2-01,EC2,t3.large,us-east-1,platform,dev,3.22,7.86,2.0,60.0,34,2026-03-09,running,"team:platform,env:dev"
i-02801823908,payments-staging-ec2-02,EC2,t3.large,us-east-1,payments,staging,49.04,58.03,2.0,60.0,67,2026-03-02,running,"team:payments,env:staging"
i-01438989805,payments-sandbox-ec2-03,EC2,t3.medium,us-east-1,payments,sandbox,1.3,13.7,1.0,30.0,46,2026-04-04,running,"team:payments,env:sandbox"
i-02625792787,frontend-dev-ec2-04,EC2,r5.2xlarge,eu-west-1,frontend,dev,2.2,31.39,12.1,363.0,106,2026-05-02,running,"team:frontend,env:dev"
i-05231494220,frontend-staging-ec2-05,EC2,r5.2xlarge,ap-south-1,frontend,staging,2.95,82.98,12.1,363.0,93,2026-04-10,running,"team:frontend,env:staging"
i-03783290795,data-eng-sandbox-ec2-06,EC2,m5.4xlarge,eu-west-1,data-eng,sandbox,22.74,62.15,18.43,552.9,84,2026-04-09,running,"team:data-eng,env:sandbox"
i-01240251661,payments-sandbox-ec2-07,EC2,m5.2xlarge,ap-south-1,payments,sandbox,3.92,77.45,9.22,276.6,51,2026-03-07,running,"team:payments,env:sandbox"
i-07439149233,data-eng-prod-ec2-08,EC2,m5.4xlarge,eu-west-1,data-eng,prod,49.43,46.3,18.43,552.9,30,2026-04-14,running,"team:data-eng,env:prod"
i-07801222128,payments-staging-ec2-09,EC2,c5.4xlarge,us-east-1,payments,staging,29.34,24.74,16.32,489.6,98,2026-03-11,running,"team:payments,env:staging"
i-03694860228,frontend-sandbox-ec2-10,EC2,m5.xlarge,eu-west-1,frontend,sandbox,68.83,42.99,4.61,138.3,14,2026-05-05,running,"team:frontend,env:sandbox"
i-09639245200,ml-ops-sandbox-ec2-11,EC2,t3.large,eu-west-1,ml-ops,sandbox,46.92,15.31,2.0,60.0,79,2026-03-15,running,"team:ml-ops,env:sandbox"
i-04272602734,data-eng-prod-ec2-12,EC2,c5.4xlarge,eu-west-1,data-eng,prod,2.18,87.14,16.32,489.6,40,2026-04-14,running,"team:data-eng,env:prod"
i-04944899549,frontend-staging-ec2-13,EC2,c5.4xlarge,eu-west-1,frontend,staging,1.1,34.17,16.32,489.6,22,2026-03-11,running,"team:frontend,env:staging"
i-01248786714,platform-dev-ec2-14,EC2,t3.medium,eu-west-1,platform,dev,65.25,90.23,1.0,30.0,115,2026-04-24,running,"team:platform,env:dev"
i-03361388464,ml-ops-prod-ec2-15,EC2,t3.large,us-east-1,ml-ops,prod,20.3,52.49,2.0,60.0,100,2026-03-01,running,"team:ml-ops,env:prod"
